"name","phone","website_url","address","place_id","rating","user_ratings_total","maps_url","business_status"
"Camp Creek Dental","+1 404-344-2323","http://campcreekdental.com/","3886 Princeton Lakes Way #220, Atlanta, GA 30331, USA","ChIJ4d0Gs2zi9IgRkwVn7Pw7_q0","4.6","227","https://maps.google.com/?cid=12537524370130011539","OPERATIONAL"
"Pampered Smiles","+1 404-891-9489","https://atlantapamperedsmiles.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website","3730 Carmia Dr SW #170, Atlanta, GA 30331, USA","ChIJsc9VFxfi9IgRC-7qm1lDTQo","4.5","338","https://maps.google.com/?cid=742323565733015051","OPERATIONAL"
"Beautiful Smiles at Camp Creek","+1 404-344-7645","https://www.smilesatl.com/","3890 Redwine Rd SW, Atlanta, GA 30331, USA","ChIJSXg4YBri9IgR_ytQkneImr4","4.3","330","https://maps.google.com/?cid=13734440060756962303","OPERATIONAL"
"Greenbriar Dental Care","+1 404-344-5000","http://greenbriardentalcare.com/","2841 Greenbriar Pkwy SW, Atlanta, GA 30331, USA","ChIJQ8XlZZId9YgRDKhsvIGacI8","4.6","627","https://maps.google.com/?cid=10335931026817984524","OPERATIONAL"
"Dental Excellence of Atlanta","+1 404-753-4753","https://www.dentalexcellenceofatlanta.com/","2265 Cascade Rd Suite A, Atlanta, GA 30311, USA","ChIJi0DAgy4d9YgRvguH60ieU1U","4.6","123","https://maps.google.com/?cid=6148431952317189054","OPERATIONAL"
"J & J Family Dentistry","+1 404-472-0425","http://www.jandjfamilydentistry.com/","3915 Cascade Rd # 120, Atlanta, GA 30331, USA","ChIJwVsUwC4c9YgR40aZrehDh7Y","4.3","72","https://maps.google.com/?cid=13152555903382800099","OPERATIONAL"
"Dentistry At Camp Creek","+1 404-629-9290","http://dentistryatcampcreek.com/","3515 Camp Creek Pkwy #100, Atlanta, GA 30344, USA","ChIJb6uyABXi9IgROpaykHeolF0","4.4","210","https://maps.google.com/?cid=6743199773562672698","OPERATIONAL"
"Great Expressions Dental Centers - Cascade","+1 678-263-3540","https://www.greatexpressions.com/dental-offices/endodontist-in-atlanta-georgia-cascade-rd/","3752 Cascade Rd #190, Atlanta, GA 30331, USA","ChIJ6SsDCzIc9YgR6y_35BKjtcs","4.4","2076","https://maps.google.com/?cid=14678817862030143467","OPERATIONAL"
"West Georgia Dental","+1 404-344-8778","","3030 Headland Dr # 300, Atlanta, GA 30311, USA","ChIJNRN-NJod9YgRPShnnInttns","2.5","118","https://maps.google.com/?cid=8914573687716784189","OPERATIONAL"
"Plus One Dental Associates: Geiger Gina L DDS","+1 404-758-1055","http://plusonedental.com/","2380 Benjamin E Mays Dr SW # A, Atlanta, GA 30311, USA","ChIJ66lq8eMc9YgRuzmu1DwIirc","3.9","40","https://maps.google.com/?cid=13225392313086130619","OPERATIONAL"
