"name","phone","website_url","address","place_id","rating","user_ratings_total","maps_url","business_status"
"Caldo","+381 65 6333666","","Bulevar Zorana Đinđića 44a, Beograd 11070, Serbien","ChIJrUwdGl9lWkcR7M4rQ2G89p4","4.5","1941","https://maps.google.com/?cid=11454549828188229356","OPERATIONAL"
"Leskovačka skara kod Dejanca","+381 61 2052170","","Vojvode Stepe 61, Beograd 11000, Serbien","ChIJB57FPe1xWkcRMSn6_-Qd3pI","4.6","227","https://maps.google.com/?cid=10582929043751577905","OPERATIONAL"
"Жућа","+381 11 3391195","","Venizelosova 23, Beograd 11000, Serbien","ChIJMcTKhLd6WkcRPRWfdfU3tZE","4.5","868","https://maps.google.com/?cid=10499359633664054589","OPERATIONAL"
"Food Factory","+381 62 8253125","","Bulevar Zorana Đinđića 44a/7, Beograd 11070, Serbien","ChIJDyFmHWhlWkcR5XaKYzGmAaU","4.7","313","https://maps.google.com/?cid=11889967222288447205","OPERATIONAL"
"GRILL SLAVIJA DS","+381 65 4328931","","Birčaninova 50, Beograd 11000, Serbien","ChIJS6wiQIVxWkcRLmSrXuYyveg","4.1","123","https://maps.google.com/?cid=16770616552409752622","OPERATIONAL"
"Halo Leskovac","+381 11 3221852","","Makedonska 34, Beograd 110000, Serbien","ChIJI0MN2HN7WkcRSKBP5Gxfo34","4.1","1071","https://maps.google.com/?cid=9125242191274287176","OPERATIONAL"
"Viner","+381 11 2624176","","Kralja Petra 80, Beograd 11000, Serbien","ChIJj6xrGUtlWkcR7LQDpvvx7Ys","4.5","385","https://maps.google.com/?cid=10082981203876754668","OPERATIONAL"
"Stepin vajat Autokomanda","+381 69 2460564","https://www.facebook.com/pages/Stepin-Vajat/135364699857523","Vojvode Stepe 2л, Beograd 11010, Serbien","ChIJZyKDSmpwWkcR61uX3oIroAw","4.3","7365","https://maps.google.com/?cid=909774965809044459","OPERATIONAL"
"Gurmania Food","+381 60 6252353","https://www.facebook.com/share/17ngb8bo88/?mibextid=wwXIfr","Sarajevska 32, Beograd 11000, Serbien","ChIJ9cAZBfpxWkcRu1xXJUijPuI","4.6","358","https://maps.google.com/?cid=16302647231387229371","OPERATIONAL"
"Restoran Žar","+381 66 355010","http://rostiljubeogradu.rs/","Požeška bb, Beograd 11000, Serbien","ChIJ_15cstpvWkcRWab9L3WSJu4","4.1","1542","https://maps.google.com/?cid=17160564462155834969","OPERATIONAL"
"Žar Mance","+381 64 1533505","https://zarmancebeograd.rs/","Lješka 94a, Beograd, Serbien","ChIJl-UxZc1vWkcR4pIdfP8uCeg","4.2","938","https://maps.google.com/?cid=16719946766423528162","OPERATIONAL"
"Comida Loca","+381 60 5550213","","Majke Jevrosime 8, Beograd, Serbien","ChIJ8Tq-knJ7WkcRtZ-L1-4abqw","5","16","https://maps.google.com/?cid=12424898035082567605","OPERATIONAL"
"Luna Fast Food","+381 63 210132","","11070, Omladinskih brigada 18, Beograd, Serbien","ChIJsYDeKHplWkcRBzL8kIBaPTo","4.1","519","https://maps.google.com/?cid=4196609936013931015","OPERATIONAL"
"Grill Ranković","+381 11 3650030","","Deligradska 1, Beograd 11000, Serbien","ChIJUUINjwlwWkcRjBibPCoTMIk","4.3","1258","https://maps.google.com/?cid=9885422254204590220","OPERATIONAL"
"Gastroteka","+381 63 577740","","Balkanska 29, Beograd, Serbien","ChIJ542Dua56WkcRhHOMrZrTvaU","4.3","169","https://maps.google.com/?cid=11942934448146510724","OPERATIONAL"
"Kiklop Fast food Banovo Brdo","+381 66 8838832","https://www.kiklop.rs/","Požeška 48, Баново брдо 11030, Serbien","ChIJc465r9NvWkcRJZE8xqYKA_I","4.2","474","https://maps.google.com/?cid=17438793893515399461","OPERATIONAL"
"Familija 2+3","+381 67 7109199","","Kralja Petra 4a, Beograd 11000, Serbien","ChIJA0PjnW1lWkcRP4-OTZPyabo","4.8","203","https://maps.google.com/?cid=13432534078084517695","OPERATIONAL"
"Fast food DIF","+381 61 2030623","","Deligradska 27, Beograd, Serbien","ChIJZbL4Uz9xWkcROjnDFxoVV_o","4.8","24","https://maps.google.com/?cid=18038910034267814202","OPERATIONAL"
"Good Food","+381 64 9501390","http://www.goodfood.rs/","Brankova 1, Beograd 11000, Serbien","ChIJkyUVbq16WkcRXSoWmOw6oug","4","664","https://maps.google.com/?cid=16763025550864689757","OPERATIONAL"
"Leskovački roštilj","+381 64 0001611","https://leskovackirostiljfb.rs/","Cvijićeva 93, Beograd, Serbien","ChIJkXNb5H17WkcR-ZN9ey825b0","4.8","208","https://maps.google.com/?cid=13683402620398310393","OPERATIONAL"
"Kod Krojača","+381 66 447979","","Bulevar kralja Aleksandra 138, Beograd 11000, Serbien","ChIJXZY9iYp7WkcRmX2nlY_K8To","4.4","346","https://maps.google.com/?cid=4247398641627004313","OPERATIONAL"
"Kod Leskovčanina","+381 69 780888","","Ruzveltova 32, Beograd, Serbien","ChIJ466T7O97WkcRDmS9WCmi9uI","3.9","87","https://maps.google.com/?cid=16354437395308700686","OPERATIONAL"
"ROSTILJ ČUBURAC brza hrana","+381 63 1744191","","Mačvanska 1, Beograd 11000, Serbien","ChIJM8neDVNxWkcRKmkP1ZIagUo","4.4","43","https://maps.google.com/?cid=5368601448744446250","OPERATIONAL"
"Grill Despot","+381 64 3645645","","Bulevar despota Stefana 96, Beograd, Serbien","ChIJj_ISj_Z7WkcRgQtt-O8Ed1c","4.2","64","https://maps.google.com/?cid=6302511632239889281","OPERATIONAL"
"Leskovački Voz","+381 64 9594486","http://www.leskovackivoz.rs/","Kumodraška 83, Beograd, Serbien","ChIJdX-fqPpwWkcR96e95hOO0ec","4.5","500","https://maps.google.com/?cid=16704288709020592119","OPERATIONAL"
