"name","phone","website_url","address","place_id","rating","user_ratings_total","maps_url","business_status"
"DRIP Specialty Coffee","","https://www.instagram.com/dripbelgrade/","Gospodar-Jevremova 46a, Beograd 11000, Serbien","ChIJGUPao7l7WkcRZy8YSmapKjg","4.8","678","https://maps.google.com/?cid=4047233471940669287","OPERATIONAL"
"Baristocratia coffee society","+381 11 4032241","http://www.baristocratia.com/","Njegoševa 31, Beograd 11000, Serbien","ChIJH9CdsKB6WkcRNz7s3-Jmsbs","4.6","1033","https://maps.google.com/?cid=13524704280575753783","OPERATIONAL"
"Cafe Black Coffee 2019","","","Cara Dušana 84, Beograd 11000, Serbien","ChIJh-3sAGx7WkcRZJrQVyeMwqA","4.8","165","https://maps.google.com/?cid=11583975292155239012","OPERATIONAL"
"Artist Specialty Coffee, Stari grad","+381 62 209195","https://www.instagram.com/artist_beograd/","Kondina 26, Beograd 11000, Serbien","ChIJgc-p5fN7WkcRinfqK34fwnk","4.9","992","https://maps.google.com/?cid=8773609650834274186","OPERATIONAL"
"Caffe Focus","+381 11 2438852","http://www.instagram.com/caffe__focus","Krušedolska 7, Beograd 11000, Serbien","ChIJwdmaL9lxWkcRO64_pn1bQqc","4.4","690","https://maps.google.com/?cid=12052296148015099451","OPERATIONAL"
"Cafe&Factory6","+381 65 3675650","https://cafe-factory.net/ja/","Kralja Petra 23, Beograd 104109, Serbien","ChIJc288YExlWkcRPrNhjw07F84","4.4","897","https://maps.google.com/?cid=14850403225703658302","OPERATIONAL"
"Espresso bar","+381 62 8840900","","Topličin venac 7, Beograd 11000, Serbien","ChIJ_4DIvcd7WkcRxOwCbtLCnn0","4.6","392","https://maps.google.com/?cid=9051886510105881796","OPERATIONAL"
"Cafe Bar Teatar","","","Dositejeva 5, Beograd, Serbien","ChIJVVVlsLN6WkcRCd9zSIqtLhw","4.7","328","https://maps.google.com/?cid=2030751291423317769","OPERATIONAL"
"Green Street Cafe","+381 11 3231110","https://sr-rs.facebook.com/pages/category/Bar/Green-Street-Cafe-230977980278426/","Palmotićeva 19, Beograd, Serbien","ChIJV9_eUqV6WkcRtD06qZAEU_I","4.6","387","https://maps.google.com/?cid=17461305199606513076","OPERATIONAL"
"Cafe Diplomatique","+381 11 3614474","","Beograd,, Beograd, Serbien","ChIJeydndglwWkcRlqBnO10FCpM","4.5","485","https://maps.google.com/?cid=10595286971329257622","OPERATIONAL"
