"name","phone","website_url","address","place_id","rating","user_ratings_total","maps_url","business_status"
"Savanova","+381 69 2317171","http://savanova.rs/","Savsko šetalište bb, Belgrade 11000, Serbien","ChIJhzcMY1NlWkcR3omkhoMWZec","4.2","4555","https://maps.google.com/?cid=16673757949564586462","OPERATIONAL"
"Durmitor","+381 11 2602330","http://www.restorandurmitor.rs/","Omladinskih brigada 16a, Beograd, Serbien","ChIJuea0JnplWkcRKfcy-kwFtA8","4.7","9979","https://maps.google.com/?cid=1131535234550134569","OPERATIONAL"
"Restoran Mihailo","+381 11 4016939","http://restoranmihailo.rs/","Obilićev venac 16, Beograd 11000, Serbien","ChIJxUWy6mN7WkcR8LeuOJ50TRI","4.8","4420","https://maps.google.com/?cid=1318838488794052592","OPERATIONAL"
"Giulia","+381 11 6185567","http://www.giulia.rs/","Sava Promenade, Beograd, Serbien","ChIJIW6kEexvWkcRohnKF9r3exg","4.1","1067","https://maps.google.com/?cid=1764276195119733154","OPERATIONAL"
"Zavičaj Balkanska","+381 63 369670","http://www.zavicaj.rs/","Gavrila Principa 77, Beograd, Serbien","ChIJl7sqTql6WkcRsQp4gfsMcL0","4.5","5120","https://maps.google.com/?cid=13650424744908425905","OPERATIONAL"
"Mama Restaurant Belgrade","+381 11 3333011","https://mamashelter.com/belgrade/eat-drink/#booking-table","Kneza Mihaila 54A, Beograd 11000, Serbien","ChIJiVf3Y0xlWkcRdmjsOlqEZw8","4.5","4632","https://maps.google.com/?cid=1110001356240611446","OPERATIONAL"
"Iv restaurant","+381 64 6464207","","Milentija Popovića 5b, Novi Beograd 11070, Serbien","ChIJ7XhXzvBvWkcRSJKvc3GZwqI","4.3","429","https://maps.google.com/?cid=11728105092177433160","OPERATIONAL"
"Ресторан Бакара","+381 65 8448585","http://bakara.rs/","Ada ciganlija 25, Београд, Serbien","ChIJr7aeqrhvWkcRgGtbO4UPWzs","4.6","886","https://maps.google.com/?cid=4277029336019331968","OPERATIONAL"
"Restaurant Miloshev Konak","+381 11 2663146","http://www.restoranmilosevkonak.rs/","Topciderska, Beograd, Serbien","ChIJt5_HaCVwWkcRGoD3Zbn3PLw","4","4432","https://maps.google.com/?cid=13563988553384820762","OPERATIONAL"
"Restoran Constantin, Belville","+381 66 8518000","http://www.constantin.rs/","Lokal 6P, Bulevar Crvene Armije 9, Beograd 11070, Serbien","ChIJj53QaZ1vWkcROLAHb4vAuZ8","4.8","582","https://maps.google.com/?cid=11509442027817775160","OPERATIONAL"
"Restoran Dardaneli Slavija","+381 69 3903900","https://dardaneli.rs/","Deligradska 27, Beograd 11000, Serbien","ChIJu2IOSQlwWkcR7Fjao2QsOs4","4.6","2669","https://maps.google.com/?cid=14860238731219720428","OPERATIONAL"
"Mala Slavija Na Sajmu","+381 11 4252052","","Bulevar Vojvode Mišića, Beograd, Serbien","ChIJ85e-ceJvWkcRQ3iWuVbmbZs","4.5","1215","https://maps.google.com/?cid=11199861108495513667","OPERATIONAL"
"Mamma Mia Restaurant","+381 11 2687683","","Resavska 72, Beograd 11000, Serbien","ChIJH01m09ZxWkcRNWIbKGD6FFQ","4.2","1372","https://maps.google.com/?cid=6058742689616847413","OPERATIONAL"
"Restoran Kolo","+381 63 255020","https://restorankolo.com/sr/","Galerija Belgrade Ulaz 5 Sava Promenada Sava, Bulevar Vudroa Vilsona 12, Beograd 11000, Serbien","ChIJaVJrCzNvWkcRkr61U23QnXA","4.4","2122","https://maps.google.com/?cid=8114871271565934226","OPERATIONAL"
"Restoran Novi Mydan","+381 11 3692974","","Kozjačka 3-5, Beograd 11000, Serbien","ChIJVVVVVTlwWkcRS6K830ghcmI","4.5","2272","https://maps.google.com/?cid=7093768959936995915","OPERATIONAL"
"Restaurant Hyde Park","+381 66 6464777","https://instagram.com/hydeparkbeograd?igshid=YmMyMTA2M2Y=","Botićeva, Beograd 11000, Serbien","ChIJIyOZ9hZwWkcR876BtJ1fW_w","4.4","2905","https://maps.google.com/?cid=18184233051381415667","OPERATIONAL"
"Restaurant Sport","+381 63 440434","https://www.restoransport.com/","Vojvode Stepe 1, Beograd, Serbien","ChIJzcDdpWtwWkcR5dTj71UBQ7k","4.1","1210","https://maps.google.com/?cid=13349515189064815845","OPERATIONAL"
"Merak Balkan Cuisine","+381 60 4212005","https://whospitalitygroup.com/premium-restaurants/merak_balkan_cuisine/","Andre Nikolića 2, Beograd 11000, Serbien","ChIJw69YLBRxWkcRcQvl7p4MHSI","4.4","376","https://maps.google.com/?cid=2458134848366513009","OPERATIONAL"
"Restoran Šest Topola","+381 61 3020300","https://sesttopola.rs/","Bulevar Vojvode Mišića 14, Beograd, Serbien","ChIJdwtdgeNvWkcRLHKAns3WbMg","4.5","1467","https://maps.google.com/?cid=14442154283686195756","OPERATIONAL"
"Restoran Topčiderac","+381 69 1872222","http://www.topciderac.rs/","Bulevar Vojvode Mišića 81b, Beograd 11000, Serbien","ChIJPwaLKyFwWkcRftkTYq_YVCQ","4.7","3799","https://maps.google.com/?cid=2617955531185445246","OPERATIONAL"
"BLACK GEORGE","+381 65 8445425","http://www.blackgeorge.rs/","Karađorđeva 65, Beograd 11000, Serbien","ChIJscmR77JlWkcRfVsNbEUwA7E","4.7","783","https://maps.google.com/?cid=12755091644367068029","OPERATIONAL"
"KALDI Belgrade Waterfront","+381 62 570270","http://www.kaldi.rs/","Hercegovačka 23, Beograd 11000, Serbien","ChIJgXUENztxWkcR741_K0ssUOg","4.4","581","https://maps.google.com/?cid=16739928516300082671","OPERATIONAL"
"Kafeterija Komanda","+381 60 5662632","","Ustanička 7, Beograd 11000, Serbien","ChIJ6djE46pxWkcRxRe3ufs7SNU","4.5","595","https://maps.google.com/?cid=15368599680740431813","OPERATIONAL"
"Voulez-vous Novi","+381 64 0849849","http://www.voulez-vous.rs/","Bulevar Zorana Đinđića 125B, Beograd 11000, Serbien","ChIJY0bmjlplWkcReOejl5VYhX0","4.6","335","https://maps.google.com/?cid=9044732826160981880","OPERATIONAL"
"Restoran Beograd","+381 11 4396353","","Njegoševa 3, Beograd, Serbien","ChIJcRAQgmN7WkcRkEFN3OhtIA0","4.5","362","https://maps.google.com/?cid=945876768643694992","OPERATIONAL"
"Mon Bistro Cafétéria","+381 11 7645120","https://mon-bistro-cafeteria.com/","ulaz B, Luke Ćelovića Trebinjca 13, Beograd 11000, Serbien","ChIJVznFcXdxWkcRBGi-EF3SBiM","4.6","84","https://maps.google.com/?cid=2523935938342447108","OPERATIONAL"
"Bunny Restaurant & Bar","+381 64 4348827","https://bunnyrestaurantandbar.com/","Deligradska 5, Beograd 11000, Serbien","ChIJm1HeWFFxWkcRNpcwChQltVo","4.7","223","https://maps.google.com/?cid=6536171202198673206","OPERATIONAL"
"Restaurant „Nebo i zemlja“","+381 66 5757557","https://neboizemlja.rs/","Karađorđeva 15, Beograd 11000, Serbien","ChIJv7MibehlWkcRWgom8NgOlEo","4.7","585","https://maps.google.com/?cid=5373936580264594010","OPERATIONAL"
"Sheher Park Cafe","+381 63 206063","http://www.sheher.rs/","Andre Nikolića 1, Beograd 11040, Serbien","ChIJ_ZVkwSFwWkcRFj0JbJV4Kww","4.4","1889","https://maps.google.com/?cid=876927135611698454","OPERATIONAL"
"Kod Nika","+381 60 6089000","https://www.instagram.com/kod.nika","Savska 16, Савски Венац, Serbien","ChIJ33AqeQBxWkcRqVxuA_6Xi3Q","4.8","60","https://maps.google.com/?cid=8397973047397473449","OPERATIONAL"
"STEAKHOUSE EL TORO since 2003","+381 69 1506432","http://www.eltoro.rs/","Masarikova 5, Beograd 11000, Serbien","ChIJb48HMaZ6WkcRtTR9rXFLfrg","4.6","1721","https://maps.google.com/?cid=13294146101658334389","OPERATIONAL"
"Restoran PLATO","+381 60 8382103","https://restoranplato.rs/","Čika-Ljubina 18-20, Beograd 11000, Serbien","ChIJzV_5ObN6WkcRDUFHUcC_OOg","4.5","5126","https://maps.google.com/?cid=16733335248213328141","OPERATIONAL"
"Green Restaurant","+381 61 2042526","https://greenrestoran.rs/","Savska 20, Beograd 11000, Serbien","ChIJueGKrsZxWkcRWt7fhnpgsf0","4.5","108","https://maps.google.com/?cid=18280498441838648922","OPERATIONAL"
"My World","+381 69 5101151","","Svetozara Markovića 62, Beograd 11000, Serbien","ChIJoTlsNLpxWkcR4wjLWbXyeMA","4.8","122","https://maps.google.com/?cid=13869101913196923107","OPERATIONAL"
"Savamala Restaurant & Bar","+381 62 223485","https://restoransavamala.com/","Savski Trg 7, Beograd 11000, Serbien","ChIJpUl0ZKl6WkcRpgMrz492ZT0","4.5","570","https://maps.google.com/?cid=4424072568989483942","OPERATIONAL"
"Jamie's Italian Belgrade","+381 62 8675984","http://www.jamiesitalian.rs/","Hercegovačka 14, Beograd, Serbien","ChIJqxMT8hRlWkcRe-F8tM2t6J4","4.7","4861","https://maps.google.com/?cid=11450593151597470075","OPERATIONAL"
"Dreams Ćevapčići Restoran Voz","+381 64 2631333","https://restoranvoz.rs/","Milovana Milovanovića 3, Beograd 11000, Serbien","ChIJ23xjHqV7WkcRkI_Iz-9yi7M","4.6","405","https://maps.google.com/?cid=12937560728860659600","OPERATIONAL"
"Rustique Restaurant","+381 62 8848511","https://rustique.rs/","Vase Pelagića 48A, Beograd 11040, Serbien","ChIJd6W94SFwWkcRzMVatSj7xiQ","4.6","2482","https://maps.google.com/?cid=2650081583014004172","OPERATIONAL"
"Graficar Restaurant","+381 64 0000136","https://restorangraficar.com/","Vase Pelagića 31, Beograd, Serbien","ChIJ1cB6QB9wWkcRb0qe113r9vs","4.5","2456","https://maps.google.com/?cid=18155957736072694383","OPERATIONAL"
"Jazz Restaurant","+381 66 214000","http://www.restoranjazz.rs/","19 OBILIĆEV VENAC, 11102, Obilićev venac 17, Beograd 11000, Serbien","ChIJO3pS67J6WkcRPtPwHn4_hsA","4.6","6663","https://maps.google.com/?cid=13872845513078919998","OPERATIONAL"
"Old Hercegovina","+381 11 3245856","http://www.stara-hercegovina.rs/kontakt/","Carigradska 36, Beograd, Serbien","ChIJB3w5Tbh6WkcR_R5p0IcbH1M","4.4","5027","https://maps.google.com/?cid=5989536299557134077","OPERATIONAL"
