"name","phone","website_url","address","place_id","rating","user_ratings_total","maps_url","business_status"
"Hobson Bay Specialist Centre","+61 3 9397 2402","https://hobsonsbayspecialistcenter.com/","93 Ferguson St, Williamstown VIC 3016, Australien","ChIJOTGflulm1moRAEm0DAthosE","5","1","https://maps.google.com/?cid=13952821295632894208","OPERATIONAL"
"nuGEN Medical & Aesthetics","+61 3 9125 7070","http://www.nugenclinic.com.au/","Ground Floor/254 Bay St, Port Melbourne VIC 3207, Australien","ChIJr9oRwktn1moRdPfMJdkL1Ko","4.2","15","https://maps.google.com/?cid=12309476708780406644","OPERATIONAL"
"Dr B Aesthetics","","https://www.drbaesthetics.com.au/","186 York St, South Melbourne VIC 3205, Australien","ChIJA93Ahvpn1moRAgNk-KaTG5A","5","17","https://maps.google.com/?cid=10384055711173968642","OPERATIONAL"
"Dr Jeet Garud","+61 3 9284 3400","https://drjeetgarud.com.au/","Level 1/111 Cecil St, South Melbourne VIC 3205, Australien","ChIJl0jg1wxn1moRHLxiLKD8HxY","5","21","https://maps.google.com/?cid=1594270557982080028","OPERATIONAL"
"Re. Plastic Surgery","+61 3 8840 0000","https://www.replasticsurgery.com.au/","level 3/36 Jackson St, Toorak VIC 3142, Australien","ChIJ3dePfnxC1moRYbOt7YgDL4c","4.9","212","https://maps.google.com/?cid=9741008405663691617","OPERATIONAL"
"SKIN CLUB","+61 3 9999 7368","","150A Chapel St, Windsor VIC 3000, Australien","ChIJBxXAiDpo1moR3b0RzM6d0aA","4.3","95","https://maps.google.com/?cid=11588216827713535453","OPERATIONAL"
"Cosmetic Connection Toorak","+61 1300 322 346","https://cosmeticconnection.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb-toorak","Suite 1/59 Ross St, Toorak VIC 3142, Australien","ChIJv2X_dm1D1moRuyqa-qb0Tw8","5","102","https://maps.google.com/?cid=1103369431735216827","OPERATIONAL"
"Dr Joni Feldman, Clinic of Cosmetic Medicine","+61 3 9824 2500","https://jonifeldman.com.au/","1102/9 Yarra St, South Yarra VIC 3141, Australien","ChIJ2f1s27VC1moR6aCyxjH9c7M","4.9","26","https://maps.google.com/?cid=12930957345339646185","OPERATIONAL"
"Dr Philip Michael, Ear Nose and Throat, Facial Plastic Surgery","+61 3 9707 2777","http://www.drphilipmichael.com/","Level 1/494 Glen Huntly Rd, Elsternwick VIC 3185, Australien","ChIJPXfk0eVp1moRMfLYNz6c5cQ","4.8","69","https://maps.google.com/?cid=14187917992139485745","OPERATIONAL"
"Brighton Medical Aesthetics","+61 3 9070 5280","https://www.brightonmedicalaesthetics.com.au/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb","Suite 10/75-79 Bay St, Brighton VIC 3186, Australien","ChIJ6zk7chVp1moR8p9c1PAxeeE","5","22","https://maps.google.com/?cid=16247072041140527090","OPERATIONAL"
"Skin Club - Cosmetic Doctors Melbourne","+61 3 9999 7368","","194A Chapel St, Prahran VIC 3181, Australien","ChIJ0991MpVp1moRI15vUTXFUxg","1","1","https://maps.google.com/?cid=1752961512767446563","OPERATIONAL"
"Dr Aaron Stanes Toorak","+61 1300 322 346","https://cosmeticconnection.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb-toorak-dr-aaron-stanes","Suite 1/59 Ross St, Toorak VIC 3142, Australien","ChIJ9QXlVzFp1moRsa3hs3iD3dc","4.9","98","https://maps.google.com/?cid=15554733242444787121","OPERATIONAL"
"Aesthetica Image Centre","+61 3 9824 6134","https://aesthetica.com.au/","4 Northcote Rd, Armadale VIC 3143, Australien","ChIJ2bEfT5tC1moRDhaYLIPeyyM","4.4","29","https://maps.google.com/?cid=2579399866569987598","OPERATIONAL"
"Dr Chris Moss Plastic Surgery","+61 3 9826 9988","https://www.chrismoss.com.au/?utm_source=google&utm_medium=localseo&utm_campaign=localplaces","504 Toorak Rd, Toorak VIC 3142, Australien","ChIJM5ESrntC1moRZggz8kIAY-I","4.9","101","https://maps.google.com/?cid=16312882562797340774","OPERATIONAL"
"Me Clinic | Plastic & Cosmetic Surgery & Aesthetic Medicine","+61 3 9569 3511","https://www.meclinic.com.au/","4 Burke Rd, Malvern East VIC 3145, Australien","ChIJex9kR_Vp1moRWHF_VH0QYLc","4.3","88","https://maps.google.com/?cid=13213579437179629912","OPERATIONAL"
"Avenue Aesthetic Surgery","+61 3 9521 1777","https://avenueaestheticsurgery.com.au/","1312 Malvern Rd, Malvern VIC 3144, Australien","ChIJgUm2PzFo1moROMkuMN-GA8k","4.4","57","https://maps.google.com/?cid=14484569119697848632","OPERATIONAL"
"Melbourne Institute of Plastic Surgery","+61 3 9508 9508","http://www.melbplastsurg.com/","253 Wattletree Rd, Malvern VIC 3144, Australien","ChIJX-50I_tp1moRssg1frHquPc","3.7","39","https://maps.google.com/?cid=17850275171130525874","OPERATIONAL"
"Aurez aesthetics","+61 3 9982 0510","https://www.aurezaesthetics.com.au/","1312 Malvern Rd, Malvern VIC 3144, Australien","ChIJVaJF_iZp1moRtyvhBdQAgEE","5","15","https://maps.google.com/?cid=4719773320115989431","OPERATIONAL"
"YourBreast","+61 1300 284 636","http://www.yourbreast.com.au/","253 Wattletree Rd, Malvern VIC 3144, Australien","ChIJ0wEsJPtp1moR7SCFENggGs8","4.8","99","https://maps.google.com/?cid=14923276427607744749","OPERATIONAL"
"The Doctors’ Studio - Melbourne","+61 407 359 856","https://thedoctorsstudio.com.au/?utm_source=gbp&utm_medium=organic&utm_campaign=melbourne","215 Waverley Rd, Malvern East VIC 3145, Australien","ChIJdaTlTd1p1moRVqPLZGlM2Dg","4.6","52","https://maps.google.com/?cid=4096107876639810390","OPERATIONAL"
"Dr Gary Kode","+61 3 9569 3511","https://www.mrgarykode.com.au/","4 Burke Rd, Malvern East VIC 3145, Australien","ChIJT9Ll5-WmcKoRNcErW_mfQi0","4.6","11","https://maps.google.com/?cid=3261344973494927669","OPERATIONAL"
"Southwick Graeme J","+61 3 9508 9508","https://www.melbplastsurg.com/surgeon/graeme-southwick/","253 Wattletree Rd, Malvern VIC 3144, Australien","ChIJX-50I_tp1moRVZ0Wflg5gVI","4.7","14","https://maps.google.com/?cid=5945096035341081941","OPERATIONAL"
"Dr. Mansoor Mirkazemi","+61 3 9016 7822","https://www.plasticsurgery.net.au/","Level 8/267 Collins St, Melbourne VIC 3000, Australien","ChIJo77wRbRC1moR7GkUGAQszN8","4.9","55","https://maps.google.com/?cid=16126312761802385900","OPERATIONAL"
"Collins St Plastic Surgery & Skin Aesthetics","+61 3 9016 7822","https://www.plasticsurgery.net.au/","8/267 Collins St, Melbourne VIC 3000, Australien","ChIJq6qqqrVC1moRrbiXvu7r7us","4.4","8","https://maps.google.com/?cid=17000785054002559149","OPERATIONAL"
"MD Cosmedical Solutions","+61 1300 885 808","http://www.mdcosmedicalsolutions.com.au/","Level 3/11-19 Bank Pl, Melbourne VIC 3000, Australien","ChIJX8pDXL9d1moREPlCxy72JdQ","5","2","https://maps.google.com/?cid=15286895190951000336","OPERATIONAL"
"Top Medical & Cosmetic Hub - TMCH (Swanston St. Medical Centre)","+61 3 7046 0890","http://tmch.com.au/","Suite 14 / Level 3/343 Little Collins St, Melbourne VIC 3000, Australien","ChIJeWvXDMtC1moRwCOccbnQ09c","4","478","https://maps.google.com/?cid=15552003433134040000","OPERATIONAL"
"Dr Natalie Ngan Plastic Surgery","+61 3 9928 6577","https://drnataliengan.com.au/","St Francis Building, Suite 22 Level 2/166 Gipps St, East Melbourne VIC 3002, Australien","ChIJf2aLfVNC1moRm0n5qaSiYx8","5","313","https://maps.google.com/?cid=2261830265980144027","OPERATIONAL"
"Parkside Plastic Surgery","+61 3 9021 7320","http://www.parksideplasticsurgery.com.au/","1/1 Verona Ln, East Melbourne VIC 3002, Australien","ChIJudleQOhC1moRbIVBIa3oarA","5","13","https://maps.google.com/?cid=12712228728491574636","OPERATIONAL"
