"name","phone","website_url","address","place_id","rating","user_ratings_total","maps_url","business_status"
"Portside Dental","+61 3 9967 6131","https://www.portsidedental.com.au/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_term=home","342 Melbourne Rd, Newport VIC 3015, Australien","ChIJYT7y05tn1moRbu-RekiklDg","5","177","https://maps.google.com/?cid=4077064193878126446","OPERATIONAL"
"Parker Dental - Dentist Williamstown","+61 3 9397 6021","http://parkerdentalwilliamstown.com.au/","13A Douglas Parade, Williamstown VIC 3016, Australien","ChIJZRaiWehm1moR4zf-vplqKUU","4.8","107","https://maps.google.com/?cid=4983631671229036515","OPERATIONAL"
"Hobsons Bay Dental","+61 3 9391 5174","http://hobsonsbaydental.com.au/","72 Electra St, Williamstown VIC 3016, Australien","ChIJmw8odelm1moRiXo7DknmhUc","4.9","72","https://maps.google.com/?cid=5153778550041180809","OPERATIONAL"
"Bupa Dental Port Melbourne (formerly Melbourne MD)","+61 3 9452 2111","https://bupadental.com.au/port-melbourne","1/178/180 Bay St, Port Melbourne VIC 3207, Australien","ChIJY7uxCOtn1moRN_LyD4KdA_E","4.7","252","https://maps.google.com/?cid=17366897770009653815","OPERATIONAL"
"Beacon Cove Dental","+61 3 9646 1599","http://www.beaconcovedental.com.au/","256 Bay St, Port Melbourne VIC 3207, Australien","ChIJ911pvL1n1moRBbG4AT0tlfE","4.8","124","https://maps.google.com/?cid=17407869674715656453","OPERATIONAL"
"The Dental Studio Williamstown","+61 3 9118 9078","https://thedentalstudiowilliamstown.com.au/?utm_campaign=gmb","41-43 Douglas Parade, Williamstown VIC 3016, Australien","ChIJofGMgS9n1moRL8GQFxtkqPI","5","111","https://maps.google.com/?cid=17485335620788207919","OPERATIONAL"
"Diviach Dental","+61 3 9391 1114","https://www.diviachdental.com.au/","230 Blackshaws Rd, Altona North VIC 3025, Australien","ChIJVXAK09lg1moRqq7jARG6Hzw","4.8","87","https://maps.google.com/?cid=4332385948762615466","OPERATIONAL"
"Newport Family Dentist","+61 3 9399 3399","https://www.newportfamilydentist.com.au/","469/471 Melbourne Rd, Newport VIC 3015, Australien","ChIJJ2qUQyhn1moR7SKW9x81-cA","4.8","90","https://maps.google.com/?cid=13905203735897187053","OPERATIONAL"
"Newport Smiles Dental Surgery","+61 3 9399 5462","http://www.newportsmiles.com.au/","32 Mason St, Newport VIC 3015, Australien","ChIJG7-8adZm1moRTTCJLMaoROQ","4.7","40","https://maps.google.com/?cid=16448457308168073293","OPERATIONAL"
"Bay Street Dental Group","+61 3 9646 2577","https://www.dentistportmelbourne.com.au/","136 Bay St, Port Melbourne VIC 3207, Australien","ChIJ5evG5epn1moR3a8rvDjoUic","4.8","210","https://maps.google.com/?cid=2833582445942255581","OPERATIONAL"
"Creative Dentistry","+61 3 9939 9658","http://www.creativedentistry.com.au/","3/11 Beach St, Port Melbourne VIC 3207, Australien","ChIJbSUg4_Fn1moRr_V0bKTrITE","3.7","9","https://maps.google.com/?cid=3540369873516688815","OPERATIONAL"
"Bay Street Dental Group - Dr. Newstadt Gary","+61 3 9646 2577","https://www.dentistportmelbourne.com.au/doctor/dr-gary-newstadt/","136 Bay St, Port Melbourne VIC 3207, Australien","ChIJ5evG5epn1moR2hxjfIvxmWU","3.7","3","https://maps.google.com/?cid=7321148250657070298","OPERATIONAL"
"The Look Orthodontics","+61 3 9375 1600","https://thelookortho.com.au/contact-us/orthodontist-williamstown/","65 Electra St, Williamstown VIC 3016, Australien","ChIJ6yMwOetm1moRwA5f3RaaK2Q","4.9","57","https://maps.google.com/?cid=7218032250785304256","OPERATIONAL"
"Dental on Clarendon","+61 3 9690 3285","https://dentalonclarendon.com.au/?utm_source=google&utm_medium=maps&utm_id=google+maps","Suite 3/383 Clarendon St, South Melbourne VIC 3205, Australien","ChIJD2ZmRgdo1moRITLdpPtB6dU","4.9","256","https://maps.google.com/?cid=15413923748710789665","OPERATIONAL"
"Albert Park Dental","+61 3 9021 8826","https://www.albertparkdental.com.au/","15 Victoria Ave, Albert Park VIC 3206, Australien","ChIJ3bLdg-Zn1moRrd3HlApyL7I","5","55","https://maps.google.com/?cid=12839606452427939245","OPERATIONAL"
"Garden Haven Dental","+61 3 8672 7544","https://gardenhavendental.com.au/","31 Victoria Ave, Albert Park VIC 3206, Australien","ChIJ7U8GiOZn1moRO83j1R-ZtAQ","5","127","https://maps.google.com/?cid=339064233971141947","OPERATIONAL"
"Core Dental South Melbourne","+61 3 9114 7700","https://www.coredental.com.au/","87 Market St, South Melbourne VIC 3205, Australien","ChIJs49ko91n1moRnt2ysXNEp54","4.9","156","https://maps.google.com/?cid=11432181442796510622","OPERATIONAL"
"South Melbourne Dental Smiles","+61 3 9645 7888","https://www.southmelbournedentalsmiles.com.au/?utm_campaign=GMB","214 Clarendon St, South Melbourne VIC 3205, Australien","ChIJp93rlf9n1moRfLdl9gHEQ04","4.5","52","https://maps.google.com/?cid=5639566671105865596","OPERATIONAL"
"Lumi Dental","+61 3 9123 2811","http://lumidental.net.au/","91 Victoria Ave, Albert Park VIC 3206, Australien","ChIJ6SlcjQtn1moRtu2rWnxq4VE","4.9","72","https://maps.google.com/?cid=5900114069161766326","OPERATIONAL"
"Dental@Kingsway - South Melbourne","+61 3 9690 8535","https://www.dentalatkingsway.com.au/","Suite 2, Ground Floor/222 Kings Way, South Melbourne VIC 3205, Australien","ChIJG84W9M5C1moR-8wK8r9DfFI","4.8","29","https://maps.google.com/?cid=5943700099900820731","OPERATIONAL"
"Dr Adrian Dang","+61 3 9690 6388","http://www.southmelbournedental.com.au/","Unit 1/265 Park St, South Melbourne VIC 3205, Australien","ChIJOVYWuf1n1moRTflJlHmJ9XM","5","2","https://maps.google.com/?cid=8355735838927747405","OPERATIONAL"
"Dr Raymond Montag","+61 3 9690 6388","","Unit 1/265 Park St, South Melbourne VIC 3205, Australien","ChIJbX_XuP1n1moRpWmUJUG6Zjo","5","1","https://maps.google.com/?cid=4208255690790431141","OPERATIONAL"
"Dr. Avron Lapidus","+61 3 9690 6388","https://www.southmelbournedental.com.au/meet-the-team/","Unit 1/265 Park St, South Melbourne VIC 3205, Australien","ChIJbX_XuP1n1moRxnGPgJo3xow","5","1","https://maps.google.com/?cid=10143856347419996614","OPERATIONAL"
"Grey Street Dentist","+61 3 9534 4017","https://www.greystreetdentist.com.au/?utm_source=GMB&utm_medium=organic","Suite S2/18 Grey St, St Kilda VIC 3182, Australien","ChIJ1SvhUGlo1moRppls3PdsQaY","4.9","632","https://maps.google.com/?cid=11979976295593056678","OPERATIONAL"
"Parkview Dental","+61 3 9867 1818","http://www.parkviewdental.melbourne/","1/20 Commercial Rd, Melbourne VIC 3004, Australien","ChIJLzmEtxlo1moRYq9vZevR4Kg","4.3","37","https://maps.google.com/?cid=12168957002104418146","OPERATIONAL"
"StKildadentist","+61 3 9534 8611","http://www.stkildadentist.com.au/","171 Acland St, St Kilda VIC 3182, Australien","ChIJD2oS12Zo1moREWOD99znN4g","4.9","353","https://maps.google.com/?cid=9815568849108689681","OPERATIONAL"
"The Warm Smile - Dentist Melbourne","+61 3 8669 0500","https://www.thewarmsmile.com.au/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink","Ground Floor/441 St Kilda Rd, Melbourne VIC 3004, Australien","ChIJJVGXZ2xp1moRRPo8sK0hH3o","5","196","https://maps.google.com/?cid=8799789226775083588","OPERATIONAL"
"Q1 Dental","+61 3 9078 1955","https://q1dental.com.au/","137/1 Queens Rd, Melbourne VIC 3004, Australien","ChIJYz-8FR1o1moRtQ9DAka17I4","4.3","23","https://maps.google.com/?cid=10298805760179769269","OPERATIONAL"
"Melbourne Dentist","+61 3 9867 1252","http://www.melbournedentist.com/","517 St Kilda Rd, Melbourne VIC 3004, Australien","ChIJJeyLGBxo1moRgr1Z4bv1yHs","4.9","87","https://maps.google.com/?cid=8919649249295711618","OPERATIONAL"
"Enhance Dental","+61 3 9533 8488","https://enhancedental.com/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB","219, Level 2/566 St Kilda Rd, Melbourne VIC 3004, Australien","ChIJe2-oZhdo1moRthreI6URYGo","5","173","https://maps.google.com/?cid=7665145966753618614","OPERATIONAL"
"ST KILDA SMILES","+61 3 9534 2631","http://stkildasmiles.com.au/","STKILDASMILES/209 Barkly St, St Kilda VIC 3182, Australien","ChIJ3cjlImdo1moRLrcwxQKdXOI","5","28","https://maps.google.com/?cid=16311084585652893486","OPERATIONAL"
"Complete Dental Care","+61 3 9866 1171","http://cdc.net.au/","468 St Kilda Rd, Melbourne VIC 3004, Australien","ChIJT86A8hto1moRzYRalOWeMa0","4.7","37","https://maps.google.com/?cid=12479930751294014669","OPERATIONAL"
"Elwood Dentocare","+61 3 9531 2004","https://www.elwooddentocare.com.au/","Level 1/61 Brighton Rd, Elwood VIC 3184, Australien","ChIJlwH-KeVp1moRA3wsAu23vOw","5","121","https://maps.google.com/?cid=17058711717144198147","OPERATIONAL"
"Dr Joseph Paino","+61 3 9533 8488","http://www.enhancedental.com/","566 St Kilda Rd, Melbourne VIC 3004, Australien","ChIJe2-oZhdo1moR9MucPFWj6eA","5","17","https://maps.google.com/?cid=16206664320553896948","OPERATIONAL"
"Dentistry in Elwood","+61 3 9531 0011","https://dentistryinelwood.com.au/","65 Glen Huntly Rd, Elwood VIC 3184, Australien","ChIJgWfe2Ixo1moRQr4QoQP2Seg","4.9","50","https://maps.google.com/?cid=16738179985546722882","OPERATIONAL"
"Bupa Dental South Melbourne","+61 3 9828 3888","https://www.bupadental.com.au/find-a-dentist/vic-melbourne-3004-au/bupa-dental-south-melbourne","6/37-39 Albert Rd, Melbourne VIC 3004, Australien","ChIJ7RSdsAJo1moRW0B1PbGENPE","3.9","169","https://maps.google.com/?cid=17380662758704758875","OPERATIONAL"
"Elwood Dental Group","+61 3 9531 6387","https://www.elwooddental.com.au/","163 Ormond Rd, Elwood VIC 3184, Australien","ChIJS3PX8fFo1moRH4XlK-GE0DE","4.8","98","https://maps.google.com/?cid=3589515005653255455","OPERATIONAL"
"Domain Dental:Dr Bruno Cataldo","+61 3 9867 1922","http://domaindental.com.au/","366 Punt Rd, South Yarra VIC 3141, Australien","ChIJqzaVAKFC1moRaDUSbyhU1oI","5","22","https://maps.google.com/?cid=9427815402585601384","OPERATIONAL"
"Dr. Philip Papa","+61 3 9867 7060","","7/517 St Kilda Rd, Melbourne VIC 3004, Australien","ChIJZ-AWvhlo1moRoozecOlyGrw","4.9","14","https://maps.google.com/?cid=13554272375471508642","OPERATIONAL"
"Dr David Treherne","+61 3 9867 1252","https://www.melbournedentist.com/","517 St Kilda Rd, Melbourne VIC 3004, Australien","ChIJZ-AWvhlo1moRriM8Pv7qv34","5","8","https://maps.google.com/?cid=9133276947017376686","OPERATIONAL"
"Park Street Dental","+61 3 9690 8132","http://www.parkstreet.dental/","68 Park St, South Melbourne VIC 3205, Australien","ChIJD_ii16lC1moRF9TVLtRQtF8","4.7","40","https://maps.google.com/?cid=6896225801660126231","OPERATIONAL"
"The Dental Co. Prahran","+61 3 8338 1490","http://www.thedentalcompany.com.au/?utm_campaign=gmb","2/6-10 Chapel St, Windsor VIC 3181, Australien","ChIJhWertjlo1moRhK7WMIH3__c","5","283","https://maps.google.com/?cid=17870273980671635076","OPERATIONAL"
"Dental Care St Kilda","+61 3 9534 6414","https://www.dentalcarestkilda.com.au/","202 Carlisle St, Balaclava VIC 3183, Australien","ChIJv_dq0ERo1moR-1X93cssJfc","4.6","201","https://maps.google.com/?cid=17808689555620845051","OPERATIONAL"
"Dental Art St Kilda","+61 3 9527 2273","https://www.dentalart.com.au/","281 Orrong Rd, St Kilda East VIC 3183, Australien","ChIJPbN-urVp1moRG4VXv5_MNpA","4.9","366","https://maps.google.com/?cid=10391718176686048539","OPERATIONAL"
"Martin Street Dentists","+61 3 9596 4000","http://www.martinstreetdentists.com.au/","141 Martin St, Brighton VIC 3186, Australien","ChIJD2gzl-Fo1moRjx7vleHBeoc","4.9","81","https://maps.google.com/?cid=9762328316906249871","OPERATIONAL"
"Insight Dental","+61 3 9523 9419","https://www.insightdentalcare.com.au/","84 Glen Eira Rd, Ripponlea VIC 3185, Australien","ChIJF29v7MNp1moRHi6X-s8GNOY","5","4","https://maps.google.com/?cid=16587890817844588062","OPERATIONAL"
"Capital Dental Care - Dentist St Kilda | Dental Implants | Teeth Whitening | Melbourne","+61 3 9533 7094","https://www.capitaldentalcare.com.au/?utm_source=Gmb+&utm_medium=Gmb&utm_campaign=Gmb","248 Dandenong Rd, St Kilda East VIC 3183, Australien","ChIJyVzkxlNp1moR8exrL1sEQlE","4.9","138","https://maps.google.com/?cid=5855247255219203313","OPERATIONAL"
"All Smiles Dental Studio South Yarra - Emergency Dental Services 24 x 7 on Call","+61 451 458 830","https://www.allsmilesdental.com.au/","Shop 1 & 2, 102/108 Toorak Rd, South Yarra VIC 3141, Australien","ChIJl1axFKRD1moR1A6EbpHbzRs","4.3","6","https://maps.google.com/?cid=2003498826920627924","OPERATIONAL"
"Prahran Family Dental","+61 3 9533 2288","http://www.prahrandentist.com.au/","7/168-180 Commercial Rd, Prahran VIC 3181, Australien","ChIJG2gOxiVo1moRZNS3NvMZBC8","5","41","https://maps.google.com/?cid=3387861352075220068","OPERATIONAL"
