"name","phone","website_url","address","place_id","rating","user_ratings_total","maps_url","business_status"
"Dr Edward Van Beem","+61 8 9226 3222","http://www.evb.com.au/","10/140 Mounts Bay Rd, Perth WA 6000, Australien","ChIJA1kJ9CmlMioR5eYml2lKoyo","4.5","21","https://maps.google.com/?cid=3072381188164740837","OPERATIONAL"
"Rodin Clinic Perth","+61 8 9389 9522","https://www.rodinclinicperth.com.au/","44/85 Monash Ave, Nedlands WA 6009, Australien","ChIJsUc_p_6kMioRPi1uD_7xAco","5","108","https://maps.google.com/?cid=14556181544121019710","OPERATIONAL"
"Hanh Nguyen","+61 8 6389 1322","","180 Stirling Hwy, Nedlands WA 6009, Australien","ChIJQSwAZEWkMioRbtPIokD6RyI","5","2","https://maps.google.com/?cid=2470218076151927662","OPERATIONAL"
"Dr Adrian Brooks","+61 8 6389 1322","","180 Stirling Hwy, Nedlands WA 6009, Australien","ChIJQSwAZEWkMioRv6rCvv0LUzk","5","2","https://maps.google.com/?cid=4130658467683936959","OPERATIONAL"
"Dr Peter Randle Plastic Surgeon Perth","+61 8 9386 2499","https://drprandle.com.au/","61/85 Monash Ave, Nedlands WA 6009, Australien","ChIJP-bTEfykMioRWIavxSWNjug","4.7","67","https://maps.google.com/?cid=16757486456862115416","OPERATIONAL"
"Argera Cosmetic Medical Centre","+61 8 9301 4244","http://argera.com.au/","3/135 Royal St, East Perth WA 6004, Australien","ChIJeeEXeSC7MioRoIjjxiOZv58","4","1","https://maps.google.com/?cid=11511087551521982624","OPERATIONAL"
"Dr Kee Lee Tan","+61 8 9225 4728","http://www.rejuvenateclinic.com.au/","75/20 Royal St, East Perth WA 6004, Australien","ChIJKY66SB67MioR_kIXRRCCJew","5","1","https://maps.google.com/?cid=17016149773479527166","OPERATIONAL"
"South Perth Plastic Surgery","+61 8 9368 1666","","6/77 South Terrace, Como WA 6152, Australien","ChIJwbKbaFC7MioRNNH-IgDv1gE","4.1","13","https://maps.google.com/?cid=132556022920171828","OPERATIONAL"
"Western Australian Plastic Surgery Centre","+61 8 9380 0333","https://www.plasticsurgerycentre.com.au/?utm_source=google&utm_medium=local&utm_campaign=gmb&utm_term=subiaco&utm_content=website","St John of God Medical Centre, Suite 215/25 McCourt St, Leederville WA 6008, Australien","ChIJdZ-2ThWlMioR_W7UvSKnvQE","4.8","17","https://maps.google.com/?cid=125440132291784445","OPERATIONAL"
"Dr. Guy Watts Plastic Surgeon","+61 8 9286 1600","http://guywattsplasticsurgeon.com.au/","8 Ventnor Ave, West Perth WA 6005, Australien","ChIJ9XtlJTCkMioRVGWY0lznz64","5","171","https://maps.google.com/?cid=12596541068634776916","OPERATIONAL"
"Dr Nathan Stewart","+61 8 6373 0116","http://www.drnathanstewart.com.au/","Level 1/51 Colin St, West Perth WA 6005, Australien","ChIJlUtgLRWlMioRHgH3JIEZwz8","5","40","https://maps.google.com/?cid=4594544087309680926","OPERATIONAL"
"Dr Vij Vijayasekaran - Specialist Plastic Surgeon","+61 8 9380 0366","https://www.plasticsurgerycentre.com.au/","Suite 215, St John of God Medical Centre, 25 McCourt St, Subiaco WA 6008, Australien","ChIJdZ-2ThWlMioRvZWWljIcsvA","4.6","22","https://maps.google.com/?cid=17343956118557595069","OPERATIONAL"
"Dr David Colbert - Perth Plastic Surgeon","+61 8 6478 9920","https://davidcolbert.com.au/","Suite 12/2 McCourt St, West Leederville WA 6007, Australien","ChIJU1XxhRalMioRN3B3t9fomUM","5","134","https://maps.google.com/?cid=4871180485171572791","OPERATIONAL"
"CosMedicWest","+61 8 9228 2188","https://cosmetic-surgery.com.au/","369 Bulwer St, West Perth WA 6005, Australien","ChIJ6Wr67ymlMioRxA3ME05W9JM","4.9","23","https://maps.google.com/?cid=10661241111232384452","OPERATIONAL"
"Dr Rohan Page - Specialist Plastic Surgeon","+61 8 9380 0388","https://drpage.com.au/","St John of God Medical Centre, Suite 215/25 McCourt St, Subiaco WA 6008, Australien","ChIJdZ-2ThWlMioROlfafRXgT9U","5","4","https://maps.google.com/?cid=15370750436149188410","OPERATIONAL"
"Dr Linda Monshizadeh Plastic Surgeon Perth","+61 8 9321 2879","https://artunismedicalgroup.com/","14 Walker Ave, West Perth WA 6005, Australien","ChIJwfjPCvWlMioRSOu9W5w_uCw","5","21","https://maps.google.com/?cid=3222395474170211144","OPERATIONAL"
