"name","phone","website_url","address","place_id","rating","user_ratings_total","maps_url","business_status"
"Accent Dental Care","+61 8 9226 1461","https://accentdental.com.au/","Mezzanine Floor/190 St Georges Terrace, Perth WA 6000, Australien","ChIJ3fEY6tS6MioRC27N_n1Kykc","4.9","316","https://maps.google.com/?cid=5173029026994679307","OPERATIONAL"
"Nedlands Dental","+61 8 6389 2711","http://www.dentistnedlands.com.au/","15/88 Broadway, Nedlands WA 6009, Australien","ChIJIS7V9_KkMioR0AuPzwNAnvc","4.9","220","https://maps.google.com/?cid=17842769158799821776","OPERATIONAL"
"Shenton Park Village Dental","+61 8 9286 3222","https://www.shentonparkvillagedental.com.au/?utm_campaign=gmb&utm_medium=organic&utm_source=gbp","2/189 Onslow Rd, Shenton Park WA 6008, Australien","ChIJhz157gWlMioRj3v1KzDnPXo","5","105","https://maps.google.com/?cid=8808450640288512911","OPERATIONAL"
"Perth Central Dental Centre","+61 8 9222 5900","https://www.perthdentalcentre.com.au/","497 Wellington St, Perth WA 6000, Australien","ChIJ4zHGJtS6MioRposdDTOzlCM","4.8","1025","https://maps.google.com/?cid=2563871119725398950","OPERATIONAL"
"Perth Prime Dental","+61 8 9325 4175","https://perthprimedental.com.au/","1/58 St Georges Terrace, Perth WA 6000, Australien","ChIJE01GBNa6MioRyDD86bBclBc","5","196","https://maps.google.com/?cid=1699084874335137992","OPERATIONAL"
"Shenton Park Family Dental","+61 8 9381 8700","https://www.shentondental.com.au/?utm_source=gmb&utm_medium=organic","78 Excelsior St, Shenton Park WA 6008, Australien","ChIJ6RTpewOlMioR5jXcCiKtUak","5","82","https://maps.google.com/?cid=12200723227246081510","OPERATIONAL"
"Dental 359","+61 1300 625 625","https://dental359.com.au/","359 Rokeby Rd, Subiaco WA 6008, Australien","ChIJm4BAmRmlMioRhT246dUBEG8","5","83","https://maps.google.com/?cid=8002898556098198917","OPERATIONAL"
"Dental O So Gentle St Georges Terrace","+61 8 6254 3770","http://dentalosogentle.com.au/","Shop 3 The Atrium, 168 St Georges Terrace, Perth WA 6000, Australien","ChIJlfgoP66sMioR3dg-0JfkeKI","4.9","242","https://maps.google.com/?cid=11707358572034578653","OPERATIONAL"
"V Dentist","+61 8 6336 7100","https://vdentist.com.au/","Level 1/160 St Georges Terrace, Perth WA 6000, Australien","ChIJAwR2AdW6MioRjT-hE-tNU48","4.8","31","https://maps.google.com/?cid=10327684042532667277","OPERATIONAL"
"Perth City Dental","+61 8 9321 5721","https://www.perthcitydental.com.au/?utm_campaign=gmb&utm_medium=organic&utm_source=gmblisting","5/105 St Georges Terrace, Perth WA 6000, Australien","ChIJBT7M69W6MioR9GIxuUwcOLk","4.9","111","https://maps.google.com/?cid=13346448611562578676","OPERATIONAL"
"Perth Dental Rooms","+61 8 9322 5340","https://perthdentalrooms.com.au/","Wentworth Building, Level 1/300 Murray Street Mall, Perth WA 6000, Australien","ChIJ0fwrcta6MioR3o37AU5AUxU","4.7","168","https://maps.google.com/?cid=1536642601648360926","OPERATIONAL"
"Access Dental Care Perth CBD","+61 8 9485 0600","https://www.accessdentalcare.com.au/","Level 7/140 St Georges Terrace, Perth WA 6000, Australien","ChIJSXdEt9W6MioRUblmREF8h7E","4.8","125","https://maps.google.com/?cid=12792329886331484497","OPERATIONAL"
"The Dentists Perth","+61 8 9381 8588","https://www.thedentistsperth.com.au/","59 Hamersley Rd, Subiaco WA 6008, Australien","ChIJScLmhBalMioR77Hfm5g_XaA","4.5","61","https://maps.google.com/?cid=11555462143585268207","OPERATIONAL"
"Iconic Dentistry","+61 8 9474 3947","https://www.iconicdentistry.com.au/","Unit 3/298 Mill Point Rd, South Perth WA 6151, Australien","ChIJlSgQuWm7MioRN2cbZjET24k","4.9","427","https://maps.google.com/?cid=9933554505983158071","OPERATIONAL"
"LifeCare Dental","+61 8 9221 2777","https://lifecaredental.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_content=perth-fcu","Upper Level Forrest Chase, T18/200-204 Murray St, Perth WA 6000, Australien","ChIJSen7Xta6MioR9z8J0QcZHwc","4.6","1256","https://maps.google.com/?cid=513156403906035703","OPERATIONAL"
"My Implant Dentist South Perth","+61 8 9361 5544","https://myimplantdentist.com.au/?utm_source=google&utm_medium=organic_gmb&utm_content=main_button&utm_campaign=gmb","65B Angelo St, South Perth WA 6151, Australien","ChIJfx3hsS27MioRFr0ghLY-U3E","4.9","266","https://maps.google.com/?cid=8165939502974549270","OPERATIONAL"
"Access Dental Care","+61 8 9225 6888","https://www.accessdentalcare.com.au/","104/128 Adelaide Terrace, East Perth WA 6004, Australien","ChIJdSkAUiK7MioRRTqnuhUbhWE","4.1","42","https://maps.google.com/?cid=7027052573721311813","OPERATIONAL"
"Above & Beyond Dental","+61 8 6183 9989","https://aandbdental.com/","28 St Georges Terrace, Perth WA 6000, Australien","ChIJ58iY9km7MioRvkggfvwycuE","5","353","https://maps.google.com/?cid=16245102865907992766","OPERATIONAL"
"South Perth Dental Surgery","+61 8 9474 2391","https://southperthdentalsurgery.com.au/?utm_campaign=gmb","48 Coode St, South Perth WA 6151, Australien","ChIJGzqi-UW7MioRlt0xZE9QuIo","4.8","116","https://maps.google.com/?cid=9995827674862443926","OPERATIONAL"
"Dental on the Terrace","+61 8 9367 2886","http://www.dentalontheterrace.com.au/","74 South Terrace, South Perth WA 6151, Australien","ChIJ5x-YblC7MioROlidGFynqc0","4.9","57","https://maps.google.com/?cid=14819560062831122490","OPERATIONAL"
"Elegant Smiles","+61 8 9474 1477","https://www.elegantsmiles.com.au/","4/77 South Terrace, South Perth WA 6151, Australien","ChIJ8UyaaFC7MioRbnqQS_4Xmzc","4.9","23","https://maps.google.com/?cid=4006822674433079918","OPERATIONAL"
"First Smiles","+61 8 9367 9277","http://www.firstsmiles.com.au/","7/38 Meadowvale Ave, South Perth WA 6151, Australien","ChIJ28su70C7MioR0ulQQB0n_q4","3.6","7","https://maps.google.com/?cid=12609559013270546898","OPERATIONAL"
"East Perth Dental Centre","+61 8 9220 5555","https://mavendental.com.au/dentists/east-perth-dental-centre/?utm_source=googlebusiness&utm_medium=organic&utm_campaign=gmb","1/10 Eastbrook Terrace, Perth WA 6004, Australien","ChIJFfXk7R-7MioRlEV_t0BgICs","4.9","122","https://maps.google.com/?cid=3107589573958387092","OPERATIONAL"
"Paediatric Dental Specialists WA","+61 8 6184 7145","http://www.pdswa.com/","2/38 Meadowvale Ave, South Perth WA 6151, Australien","ChIJofbK5VilMioRLbg9dBM4XCI","4.6","25","https://maps.google.com/?cid=2475915551352666157","OPERATIONAL"
"eDental Perth","+61 1300 467 112","https://www.edentalperth.net.au/","Eastgate Commercial Centre, 14/49 Great Eastern Hwy, Rivervale WA 6103, Australien","ChIJ72n0g6W7MioRTEh32P6hnyk","4.6","627","https://maps.google.com/?cid=2999293992777500748","OPERATIONAL"
"Park Dental Care","+61 8 9472 6688","http://www.parkdentalcare.com.au/","1/395 Albany Hwy, Victoria Park WA 6100, Australien","ChIJb1I1e3a7MioRDo9CBxyo1AU","4.9","153","https://maps.google.com/?cid=420145503586651918","OPERATIONAL"
"Dental Clinic Victoria Park - Infinite Smiles","+61 8 9361 1176","https://infinitesmiles.com.au/","3 Leonard St, Victoria Park WA 6100, Australien","ChIJKeG79h67MioRe1t4zjZlgWk","4.9","90","https://maps.google.com/?cid=7602468932044741499","OPERATIONAL"
"Dentists@Burswood","+61 8 9361 2796","https://www.burswooddental.com.au/?UTM_source=GBL","1/107-109 Orrong Rd, Rivervale WA 6103, Australien","ChIJpUQmxqK7MioRkf63Pby_uVE","4.8","160","https://maps.google.com/?cid=5888948802973859473","OPERATIONAL"
"Dental Gigi Vic Park","+61 8 9470 3875","http://www.dentalgigi.com.au/?utm_campaign=gmb","931 Albany Hwy, East Victoria Park WA 6101, Australien","ChIJVwh-DG29MioRVKr9Sl7vvM0","4.9","470","https://maps.google.com/?cid=14824987261660932692","OPERATIONAL"
"EVP Dental","+61 8 9470 3944","https://www.evpdental.com.au/?utm_campaign=gmb","House 2/734 Albany Hwy, East Victoria Park WA 6101, Australien","ChIJPZziMIK7MioRKCADvuOEONw","4.8","181","https://maps.google.com/?cid=15868579400720261160","OPERATIONAL"
"Allied Dental Victoria Park","+61 8 6174 6708","https://www.allieddental.com.au/location/victoria-park/","Shop 15/789 Albany Hwy, East Victoria Park WA 6101, Australien","ChIJnf_xxk67MioRVfZxJEJdpkE","4.9","64","https://maps.google.com/?cid=4730570997259957845","OPERATIONAL"
"Dentists in Perth","+61 8 6185 0133","https://dentistsinperth.com.au/?utm_source=google&utm_medium=gmb-listing&utm_campaign=GMB","L1 U 9/251 Adelaide Terrace, Perth WA 6000, Australien","ChIJ_X0aqHK7MioR6A31xYMjXWo","5","6","https://maps.google.com/?cid=7664321189723311592","OPERATIONAL"
