"name","phone","website_url","address","place_id","rating","user_ratings_total","maps_url","business_status"
"Bexley Dental","+61 2 9567 4151","https://bexleydental.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing","400 Forest Rd, Bexley NSW 2207, Australien","ChIJ2cxyQh26EmsRNZ87UeY2Meo","4.8","268","https://maps.google.com/?cid=16875329641567199029","OPERATIONAL"
"The TLC Dentist","+61 2 9558 0225","http://www.thetlcdentist.com.au/?utm_source=Google&utm_medium=organic&utm_campaign=GMB","251 Homer St, Earlwood NSW 2206, Australien","ChIJo6c5vWy6EmsRWpZFck6oZk8","5","508","https://maps.google.com/?cid=5721445431498872410","OPERATIONAL"
"Smile Inn Dentistry","+61 2 9554 3180","https://smileinndentistry.com.au/","25 Shaw St, Bexley North NSW 2207, Australien","ChIJocvBDiO6EmsRdJxAZRCLAjs","5","294","https://maps.google.com/?cid=4252113900725640308","OPERATIONAL"
"Campsie Family Dental","+61 2 7904 4934","https://www.campsiedental.com.au/?UTM_source=GBL","Level 1, Office 5/281-287 Beamish St, Campsie NSW 2194, Australien","ChIJc6QkCHm7EmsRvhLG2oyxeVg","4.8","140","https://maps.google.com/?cid=6375321966043599550","OPERATIONAL"
"Clemton Park Dental","+61 2 8057 2769","http://www.clemtonparkdental.com.au/","Shop 11/5 Mackinder St, Campsie NSW 2194, Australien","ChIJm17s0Em6EmsRRnBIYaGljYQ","4.6","131","https://maps.google.com/?cid=9551472497263145030","OPERATIONAL"
"Dental Residence | Top Marrickville Dentist","+61 2 8384 6667","http://www.dentalresidence.com.au/","Entry Addison Rd, Unit 4/2 Albert St, Marrickville NSW 2204, Australien","ChIJr3OplaSxEmsRLp-sFCtGws8","4.7","168","https://maps.google.com/?cid=14970605262177345326","OPERATIONAL"
"Every Smile Dental - Marrickville","+61 2 8021 6607","https://www.everysmiledental.com.au/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business%20Page&utm_term=plcid_18392473951219326106","385 Illawarra Rd, Marrickville NSW 2204, Australien","ChIJP97rsWKwEmsRqHWZfrt1hIk","5","54","https://maps.google.com/?cid=9909174528265254312","OPERATIONAL"
"True Smiles Dental","+61 2 7228 7272","https://truesmilesdental.com.au/","235 Marrickville Rd, Marrickville NSW 2204, Australien","ChIJM8Ae6nqxEmsRvAdlPB4nYfQ","5","333","https://maps.google.com/?cid=17609399028811106236","OPERATIONAL"
"DentalCare Clinics","+61 2 9568 6244","https://dentalcareclinics.com.au/stanmore","Shop 2/111/115 Percival Rd, Stanmore NSW 2048, Australien","ChIJfwUeDz6wEmsRAHq8BtonwMc","5","303","https://maps.google.com/?cid=14393548226445474304","OPERATIONAL"
"Wolli Creek Dental Care","+61 2 9599 2211","https://www.wollicreekdental.com.au/","Suite 3/2 Brodie Spark Dr, Wolli Creek NSW 2205, Australien","ChIJ25Z03pCwEmsRordDLMpymFc","4.4","30","https://maps.google.com/?cid=6311921090411345826","OPERATIONAL"
